Donor_Type,Z,N_CE_Events,N_Survived,Survival_Rate_%,CI_Low_%,CI_High_%,Lambda_Mean,Lambda_Std
Other,0.014,6,0,0.0,0.0,39.303776899708275,,
Other,0.006,9,0,0.0,0.0,28.312883556311352,,
Other,0.001,13,5,38.46153846153847,13.85793388901606,68.42223970859371,,
Shell H Burning,0.014,3,1,33.33333333333333,0.8403758659612638,90.57006759497538,0.04017604428955965,0.0038987171737238056
Shell H Burning,0.006,13,1,7.6923076923076925,0.19456284973467483,36.02974352678775,0.03536583701254244,0.006805761239142913
Shell H Burning,0.001,13,0,0.0,0.0,20.581666518655073,0.03536583701254244,0.006805761239142913
Core H Burning,0.014,4,0,0.0,0.0,52.71291954984121,0.2210646130743147,0.01735288329530039
Core H Burning,0.006,27,0,0.0,0.0,10.501923017634429,0.16407802375683797,0.10790089580121877
Core H Burning,0.001,27,0,0.0,0.0,10.501923017634429,0.16407802375683797,0.10790089580121877
