Metallicity,Z,alpha_CE,Total_Systems,CE_Events,CE_Rate_%,CE_Rate_CI_Low_%,CE_Rate_CI_High_%,Survivors,Survival_Rate_%,Survival_CI_Low_%,Survival_CI_High_%,Lambda_Mean,Lambda_Std
Solar,0.014,0.5,200,13,6.5,3.506070865697905,10.858723650381519,1,7.6923076923076925,0.19456284973467483,36.02974352678775,0.1435409407379911,0.0974904715092761
Mid,0.006,0.5,200,29,14.499999999999998,9.930862255520752,20.156149617317972,0,0.0,0.0,9.81446276772957,0.11078035970253082,0.1139856276674262
Mid,0.006,1.0,200,10,5.0,2.4234165472108553,9.002753770135138,0,0.0,0.0,25.88655508930523,0.1435409407379911,0.0974904715092761
Mid,0.006,2.0,200,10,5.0,2.4234165472108553,9.002753770135138,1,10.0,0.2528578544461785,44.50161170281954,0.1435409407379911,0.0974904715092761
Low,0.001,0.5,200,27,13.5,9.088710175489775,19.030917268339838,0,0.0,0.0,10.501923017634429,0.11078035970253082,0.1139856276674262
Low,0.001,1.0,200,11,5.5,2.7772254552006532,9.627764443391285,3,27.27272727272727,6.021773417290664,60.97425595724212,0.1435409407379911,0.0974904715092761
Low,0.001,2.0,200,15,7.5,4.258280373709265,12.06842253996613,2,13.333333333333334,1.6575913440083623,40.46026966033722,0.1435409407379911,0.0974904715092761
