Lambda_Bin,N_Systems,N_Survived,Survival_Rate_%,CI_Low_%,CI_High_%,Mean_Lambda
0-0.03,22,0,0.0,0.0,12.730543165483876,0.02291037154642679
0.03-0.06,9,1,11.11111111111111,0.2809136746599214,48.249651491733694,0.03824235836820132
0.06-0.10,4,0,0.0,0.0,52.71291954984121,0.09137132544423651
0.15-0.25,16,0,0.0,0.0,17.074972298248092,0.1811233961725163
>0.25,8,0,0.0,0.0,31.234397806636792,0.3317120312281417
