Metallicity,Z,N_Systems,Lambda_Mean,Lambda_Std,Lambda_CI_Low,Lambda_CI_High
Solar,0.014,7,0.14376514747476737,0.03444424982027424,0.06901511707607991,0.20395294441359127
Mid,0.006,26,0.11079961733165085,0.021729846330608434,0.07110681206539994,0.15486649134616748
Low,0.001,26,0.11023113275705568,0.021649050941695218,0.06975818817232961,0.1548435204956662
