Redshift,Metallicity_solar_units,SFR_density_Msun_yr_Mpc3
0.0,0.014,0.014961492428639712
0.020202020202020204,0.013870356757291041,0.015786850105159782
0.04040404040404041,0.013741914041037804,0.016639628088286996
0.06060606060606061,0.01361466073408724,0.017520080127700982
0.08080808080808081,0.01348858582223371,0.018428442811098282
0.10101010101010102,0.013363678393265676,0.019364934407439187
0.12121212121212122,0.013239927636021205,0.020329753642735243
0.14141414141414144,0.013117322839452224,0.021323078407995348
0.16161616161616163,0.012995853391697447,0.022345064399265865
0.18181818181818182,0.012875508779163882,0.02339584369005835
0.20202020202020204,0.01275627858561685,0.024475523236860787
0.22222222222222224,0.012638152491278405,0.0255841833188765
0.24242424242424243,0.012521120271934146,0.02672187591362945
0.26262626262626265,0.012405171798048259,0.027888623010619708
0.2828282828282829,0.01229029703388678,0.029084414865806683
0.30303030303030304,0.012176486036648967,0.03030920820034308
0.32323232323232326,0.012063728955606715,0.03156292434767952
0.3434343434343435,0.011952016031251943,0.03284544735390654
0.36363636363636365,0.011841337594451874,0.03415662203699942
0.38383838383838387,0.011731684065612142,0.035496252011476284
0.4040404040404041,0.011623045953847642,0.03686409768587328
0.42424242424242425,0.01151541385616107,0.03825987424137427
0.4444444444444445,0.01140877845662904,0.03968324960090578
0.4646464646464647,0.01130313052559579,0.04113384239901311
0.48484848484848486,0.0111984609188743,0.042611219963863085
0.5050505050505051,0.011094760576954842,0.04411489632376811
0.5252525252525253,0.010992020524220847,0.045644330251680014
0.5454545454545455,0.010890231868172031,0.04719892336215504
0.5656565656565657,0.010789385798654726,0.048778018276326156
0.5858585858585859,0.010689473587099327,0.050380896871424496
0.6060606060606061,0.010590486585764804,0.05200677863235143
0.6262626262626263,0.010492416226990212,0.05365481912369833
0.6464646464646465,0.010395254022453134,0.05532410860142678
0.6666666666666667,0.010298991562434977,0.05701367078413559
0.686868686868687,0.010203620515093102,0.05872246180443249
0.7070707070707072,0.01010913262573965,0.060449369361376994
0.7272727272727273,0.010015519716127092,0.06219321209524384
0.7474747474747475,0.00992277368374036,0.06395273920595056
0.7676767676767677,0.00983088650109556,0.06572663033637792
0.787878787878788,0.009739850215045148,0.06751349574146379
0.8080808080808082,0.009649656946089576,0.06931187676335249
0.8282828282828284,0.009560298887695284,0.07112024663201073
0.8484848484848485,0.009471768305619023,0.07293701160956265
0.8686868686868687,0.009384057537238423,0.07476051249513799
0.888888888888889,0.009297158990888779,0.07658902650525672
0.9090909090909092,0.009211065145205952,0.07842076954268395
0.9292929292929294,0.009125768548475383,0.080253898864283
0.9494949494949496,0.009041261817987112,0.08208651615567139
0.9696969696969697,0.008957537639396789,0.08391667101745676
0.98989898989899,0.008874588766092577,0.08574236486451257
1.0101010101010102,0.008792408018567954,0.08756155523616908
1.0303030303030305,0.008710988283800281,0.08937216051137287
1.0505050505050506,0.008630322514635167,0.09117206501884502
1.0707070707070707,0.008550403729176493,0.09295912452808412
1.090909090909091,0.00847122501018212,0.0947311721027695
1.1111111111111112,0.008392779504465174,0.0964860242937727
1.1313131313131315,0.008315060422300877,0.09822148764464356
1.1515151515151516,0.008238061036838875,0.09993536547816949
1.1717171717171717,0.00816177468352101,0.10162546492847374
1.191919191919192,0.008086194759504471,0.10328960417919851
1.2121212121212122,0.008011314723090305,0.10492561986467706
1.2323232323232325,0.0079371280931572,0.10653137458770937
1.2525252525252526,0.007863628448600538,0.10810476450468187
1.272727272727273,0.007790809427776609,0.10964372692638448
1.292929292929293,0.007718664727952003,0.11114624788102277
1.3131313131313131,0.007647188104758078,0.11261036958466673
1.3333333333333335,0.007576373371650492,0.11403419776374449
1.3535353535353536,0.007506214399373736,0.11541590877422461
1.373737373737374,0.007436705115430629,0.11675375646284551
1.393939393939394,0.00736783950355672,0.11804607871715907
1.4141414141414144,0.007299611603199558,0.11929130365324418
1.4343434343434345,0.007232015509002793,0.12048795539270979
1.4545454545454546,0.007165045370295035,0.12163465938400009
1.474747474747475,0.007098695390583472,0.12273014722700396
1.494949494949495,0.00703295982705216,0.12377326096449875
1.5151515151515154,0.006967832990064954,0.124762956808954
1.5353535353535355,0.006903309242673063,0.1256983082786169
1.5555555555555556,0.006839383000127145,0.12657850872250842
1.575757575757576,0.00677604872939393,0.12740287321989108
1.595959595959596,0.006713300948677319,0.12817083984583488
1.6161616161616164,0.006651134226943915,0.12888197030061352
1.6363636363636365,0.006589543183452947,0.1295359499067081
1.6565656565656568,0.006528522487290549,0.1301325869831042
1.676767676767677,0.0064680668569083565,0.13067181161223543
1.696969696969697,0.006408171059666361,0.13115367382028872
1.7171717171717173,0.006348829911380014,0.13157834119656106
1.7373737373737375,0.00629003827587152,0.13194609598208557
1.7575757575757578,0.006231791064525272,0.13225733166177425
1.777777777777778,0.006174083235847431,0.132512549097812
1.7979797979797982,0.006116909795029554,0.13271235224495145
1.8181818181818183,0.006060265793516281,0.13285744349068734
1.8383838383838385,0.006004146328577022,0.13294861866501337
1.8585858585858588,0.005948546542881607,0.13298676176560512
1.878787878787879,0.005893461624079868,0.13297283944482374
1.8989898989898992,0.005838886804385116,0.13290789530493743
1.9191919191919193,0.005784817360161471,0.1327930440474305
1.9393939393939394,0.0057312486115150135,0.13262946552125743
1.9595959595959598,0.005678175921888725,0.13241839871344604
1.97979797979798,0.005625594697661184,0.13216113572360255
2.0,0.005573500387748961,0.13185901576168338
